train_size,mAP,mAP-balloon
10,9.7,9.7
15,42.2,42.2
20,45.1,45.1
25,48.0,48.0
30,48.4,48.4
35,50.4,50.4
40,53.6,53.6
45,55.4,55.4
50,56.1,56.1
55,56.1,56.1
60,56.1,56.1
